Record ID,Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,Effect: Impact to flight,FlightDate,Effect: Indicated Damage,Aircraft: Number of engines?,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Wildlife: Size,Conditions: Sky,Wildlife: Species,Pilot warned of birds or wildlife?,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
218740,Airplane,GAINESVILLE REG ARPT,< 1000 ft,C-414,1,1,Unknown,6/6/02 0:00,No damage,2,BUSINESS,Florida,Climb,Unknown,False,False,Small,Some Cloud,Unknown bird - small,N,0.0,100.0,0,No
210784,Airplane,WESTCHESTER COUNTY ARPT,< 1000 ft,DA-10 FALCON,1,1,Unknown,6/7/02 0:00,No damage,2,BUSINESS,New York,Climb,Unknown,False,False,Small,Some Cloud,European starling,N,0.0,100.0,0,No
211685,Airplane,CHARLOTTE/DOUGLAS INTL ARPT,< 1000 ft,B-737-400,1,1,Unknown,6/7/02 0:00,No damage,2,US AIRWAYS*,North Carolina,Approach,Unknown,False,False,Small,Some Cloud,Unknown bird - small,N,0.0,15.0,0,Yes
211578,Airplane,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,< 1000 ft,CL-RJ100/200,1,1,Unknown,6/7/02 0:00,No damage,2,COMAIR AIRLINES,Kentucky,Take-off run,Unknown,False,False,Small,Some Cloud,European starling,Y,0.0,0.0,0,No
218105,Airplane,SOUTHBRIDGE MUNICIPAL ARPT,< 1000 ft,C-172,1,1,Precautionary Landing,6/8/02 0:00,No damage,1,PRIVATELY OWNED,Massachusetts,Climb,Unknown,False,False,Medium,No Cloud,Unknown bird - medium,N,0.0,600.0,0,No
215467,Airplane,JOHN F KENNEDY MEMORIAL,< 1000 ft,CITATION II,1,1,Other,6/8/02 0:00,Caused damage,2,BUSINESS,Wisconsin,Landing Roll,Unknown,False,False,Large,Some Cloud,White-tailed deer,Y,158467.0,0.0,0,No
213296,Airplane,VAN NUYS ARPT,< 1000 ft,C-120/140,1,1,Precautionary Landing,6/8/02 0:00,No damage,1,PRIVATELY OWNED,California,Climb,Unknown,False,False,Small,No Cloud,American kestrel,N,0.0,5.0,0,No
211822,Airplane,HILO INTL ARPT,< 1000 ft,B-717-200,1,1,Unknown,6/8/02 0:00,No damage,2,HAWAIIAN AIR,Hawaii,Approach,Unknown,False,False,Small,No Cloud,Unknown bird - small,N,0.0,100.0,0,No
216186,Airplane,PORT COLUMBUS INTL,< 1000 ft,C-650,1,1,Precautionary Landing,6/8/02 0:00,Caused damage,2,EXECUTIVE JET AVIATION,Ohio,Climb,Unknown,False,False,Small,No Cloud,Unknown bird - small,N,0.0,10.0,0,No
5803,Airplane,BARKSDALE AIR FORCE BASE ARPT,< 1000 ft,A-10A,1,1,Unknown,6/8/02 0:00,No damage,Unknown,MILITARY,Louisiana,Climb,Unknown,False,False,Medium,Some Cloud,Unknown bird or bat,Y,0.0,5.0,0,No
215540,Airplane,VAN NUYS ARPT,< 1000 ft,DA-50 FALCON,1,1,Unknown,6/9/02 0:00,Caused damage,3,BUSINESS,California,Take-off run,Unknown,False,False,Medium,Some Cloud,Unknown bird - medium,N,19016.0,0.0,0,No
215249,Airplane,SACRAMENTO INTL,< 1000 ft,B-737-300,1,1,Unknown,6/10/02 0:00,No damage,2,SOUTHWEST AIRLINES,California,Take-off run,Unknown,False,False,Small,No Cloud,Unknown bird - small,Y,0.0,0.0,0,Yes
211923,Airplane,SHREVEPORT REGIONAL,< 1000 ft,CL-RJ100/200,1,1,Unknown,6/10/02 0:00,No damage,2,ATLANTIC SOUTHEAST,Louisiana,Take-off run,Unknown,False,False,Small,Some Cloud,Unknown bird - small,N,0.0,0.0,0,No
212915,Airplane,DENVER INTL AIRPORT,< 1000 ft,MD-80,1,1,Unknown,6/10/02 0:00,No damage,2,AMERICAN AIRLINES,Colorado,Take-off run,Unknown,False,False,Small,No Cloud,Unknown bird - small,N,0.0,0.0,0,No
212916,Airplane,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,B-737-800,1,1,Unknown,6/10/02 0:00,No damage,2,AMERICAN AIRLINES,Texas,Take-off run,Unknown,False,False,Small,Some Cloud,Unknown bird - small,N,0.0,0.0,0,Yes
212003,Airplane,LARAMIE REGIONAL,< 1000 ft,BE-1900,1,1,Unknown,6/11/02 0:00,No damage,2,GREAT LAKES AIRLINES,Wyoming,Landing Roll,Unknown,False,False,Small,No Cloud,Unknown bird - small,N,0.0,0.0,0,No
